Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
abstract	0.00702	0.01672	0.06565	0.00276	0.00976	0.16267	0.00556	0.00455	0.34607	0.00070	0.03762
abstracted	0.00252	0.00576	0.00683	0.00336	0.00305	0.02635	0.03212	0.00069	0.80137	0.00073	0.00929
abstraction	0.00559	0.05339	0.03549	0.00478	0.00702	0.07004	0.01472	0.00682	0.33814	0.00090	0.06837
absurd	0.02020	0.03057	0.04293	0.00185	0.00296	0.07613	0.00773	0.00307	0.51441	0.00089	0.01601
abu	0.00624	0.01049	0.00987	0.00126	0.00290	0.03715	0.00587	0.00134	0.83683	0.00051	0.01089
abundance	0.00155	0.99613	0.00024	0.00083	0.00024	0.00128	0.00081	0.00366	0.00054	0.00015	0.00374
abundant	0.00066	0.99780	0.00023	0.00081	0.00019	0.00157	0.00060	0.00243	0.00050	0.00011	0.00388
abuse	0.01045	0.02923	0.02160	0.00189	0.00462	0.06545	0.00662	0.00303	0.61946	0.00093	0.02281
abused	0.01076	0.02180	0.02068	0.00242	0.00569	0.06866	0.00728	0.00336	0.64805	0.00083	0.01495
abuses	0.00839	0.00849	0.00600	0.00060	0.00191	0.04015	0.00425	0.00079	0.90518	0.00045	0.00598
abusive	0.01741	0.05974	0.02987	0.00267	0.00570	0.07814	0.01401	0.00494	0.45583	0.00105	0.02231
ac	0.00431	0.01641	0.01823	0.01036	0.00361	0.04317	0.10883	0.00108	0.49630	0.00062	0.01678
acacia	0.00066	0.99450	0.00037	0.00333	0.00017	0.00105	0.00484	0.00226	0.00128	0.00004	0.00973
acad	0.00242	0.02196	0.01172	0.00669	0.00148	0.01483	0.49257	0.00143	0.18784	0.00059	0.02323
academia	0.00475	0.00382	0.01406	0.00396	0.00445	0.49245	0.00309	0.00115	0.16242	0.00036	0.00608
academic	0.00442	0.01611	0.04008	0.00651	0.01611	0.30819	0.00665	0.00355	0.23981	0.00054	0.02593
academically	0.00191	0.72848	0.01235	0.00754	0.00107	0.03143	0.00761	0.00869	0.04903	0.00055	0.04323
academics	0.00550	0.01144	0.02287	0.00457	0.00664	0.28168	0.00461	0.00207	0.36602	0.00057	0.01393
academies	0.00396	0.01199	0.03929	0.00809	0.01246	0.38637	0.00443	0.00367	0.14403	0.00037	0.01617
academy	0.01875	0.03196	0.03689	0.00463	0.00655	0.15656	0.01257	0.00642	0.32704	0.00071	0.02765
acc	0.00384	0.55586	0.03946	0.04920	0.00090	0.01554	0.00259	0.00162	0.09208	0.00017	0.00693
