Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
audiences	0.82343	0.01438	0.00820	0.00132	0.00063	0.00979	0.00598	0.00134	0.00563	0.00058	0.00375
audio	0.07673	0.01510	0.01759	0.00352	0.00301	0.02893	0.04201	0.11449	0.01198	0.00134	0.01043
audit	0.00558	0.01456	0.01993	0.00373	0.00859	0.34370	0.00496	0.00369	0.28946	0.00058	0.02371
audition	0.83724	0.01590	0.01257	0.00266	0.00113	0.00344	0.00530	0.00138	0.00154	0.00049	0.00458
auditioned	0.24470	0.02016	0.07837	0.01432	0.02526	0.00288	0.00795	0.00201	0.00468	0.00071	0.00276
auditions	0.80312	0.03421	0.00963	0.00421	0.00084	0.00319	0.00528	0.00093	0.00162	0.00054	0.00526
auditor	0.00359	0.00298	0.00368	0.00095	0.00330	0.07662	0.00251	0.00043	0.86370	0.00036	0.00817
auditorium	0.00422	0.00151	0.00063	0.00421	0.00136	0.00076	0.00082	0.00645	0.00035	0.00029	0.97729
audrey	0.00704	0.13288	0.06900	0.00734	0.00560	0.06728	0.01145	0.01239	0.18016	0.00083	0.04439
aug	0.00518	0.01961	0.03097	0.00674	0.01387	0.13749	0.00982	0.00344	0.41731	0.00059	0.02620
augmented	0.00105	0.00472	0.00122	0.00099	0.00725	0.01012	0.01072	0.89632	0.00132	0.00014	0.00884
augsburg	0.00621	0.02145	0.04203	0.00422	0.01156	0.22873	0.00684	0.00440	0.29178	0.00064	0.05033
august	0.00717	0.02707	0.05268	0.00669	0.00730	0.12925	0.01815	0.00999	0.27387	0.00073	0.02910
augusta	0.00138	0.95175	0.00112	0.00292	0.00050	0.00296	0.00304	0.02077	0.00180	0.00020	0.01752
auguste	0.00732	0.02041	0.03322	0.00420	0.00843	0.24476	0.01363	0.00589	0.30424	0.00059	0.03231
augustine	0.00221	0.39283	0.00627	0.00543	0.00053	0.02252	0.01187	0.04430	0.00878	0.00093	0.30903
augusto	0.00431	0.00538	0.01434	0.00638	0.02169	0.27439	0.00379	0.00180	0.13175	0.00023	0.00763
augustus	0.00200	0.54942	0.00917	0.00638	0.00113	0.01920	0.03984	0.02105	0.01831	0.00099	0.14247
aunt	0.00312	0.29021	0.09234	0.00491	0.00138	0.01843	0.02361	0.01469	0.02971	0.00088	0.02755
aurora	0.00177	0.85881	0.00176	0.00225	0.00146	0.00342	0.00182	0.09139	0.00151	0.00021	0.03145
auspices	0.00289	0.00354	0.01060	0.00580	0.01365	0.21559	0.00297	0.00072	0.25732	0.00023	0.00591
austin	0.00096	0.19766	0.00440	0.00594	0.00090	0.00907	0.00534	0.42199	0.00302	0.00041	0.03152
australasia	0.00087	0.89190	0.01095	0.00775	0.00114	0.00942	0.03474	0.00091	0.09943	0.00066	0.01609
australasian	0.00145	0.91605	0.00951	0.00509	0.00067	0.01300	0.00316	0.01041	0.01128	0.00016	0.02272
australia	0.00245	0.80459	0.00630	0.00475	0.00085	0.02144	0.00595	0.05346	0.00567	0.00029	0.02154
australian	0.00436	0.23713	0.09603	0.00647	0.00171	0.02511	0.03135	0.01740	0.04063	0.00102	0.02174
australians	0.00385	0.41068	0.04510	0.00505	0.00083	0.00965	0.07452	0.00436	0.02954	0.00047	0.00557
austria	0.01196	0.03610	0.08702	0.00185	0.00326	0.18647	0.00693	0.00473	0.21383	0.00094	0.06229
austrian	0.01358	0.01498	0.02787	0.00333	0.00416	0.12220	0.01065	0.00356	0.52483	0.00060	0.01340
austro	0.00321	0.01348	0.01065	0.00110	0.00093	0.01940	0.40266	0.00906	0.08389	0.00081	0.01090
authentic	0.00326	0.02201	0.00293	0.00261	0.00234	0.01108	0.01067	0.74731	0.00508	0.00051	0.01965
authenticity	0.01526	0.05242	0.00212	0.00180	0.00171	0.00548	0.01216	0.23568	0.00350	0.00043	0.21684
author	0.01030	0.02017	0.02610	0.00407	0.01082	0.17325	0.00947	0.00528	0.47602	0.00063	0.01161
authored	0.00385	0.00312	0.00821	0.00428	0.00681	0.51561	0.00371	0.00177	0.16389	0.00032	0.00260
authorised	0.00121	0.00381	0.00071	0.00083	0.00402	0.01127	0.00482	0.96613	0.00073	0.00009	0.00681
authoritarian	0.00541	0.00467	0.00446	0.00061	0.00212	0.02922	0.00248	0.00045	0.93749	0.00030	0.00499
authoritative	0.00779	0.03293	0.03336	0.00212	0.00506	0.24203	0.00704	0.00571	0.27278	0.00085	0.05743
authorities	0.00635	0.00638	0.00753	0.00069	0.00158	0.03962	0.00693	0.00113	0.87014	0.00057	0.00882
authority	0.00508	0.00797	0.01020	0.00147	0.00315	0.07632	0.00400	0.00205	0.74192	0.00049	0.01069
authorization	0.00890	0.01415	0.00713	0.00159	0.00226	0.11931	0.01272	0.01120	0.21812	0.00054	0.10648
authorized	0.00157	0.00472	0.00075	0.00112	0.00199	0.02061	0.00953	0.90163	0.00145	0.00019	0.02407
authors	0.00612	0.02271	0.04875	0.00214	0.00748	0.37864	0.00458	0.00484	0.23788	0.00077	0.03092
authorship	0.00714	0.01657	0.10891	0.00359	0.00606	0.17951	0.00367	0.00426	0.27645	0.00071	0.02940
auto	0.00332	0.02054	0.01102	0.00439	0.00182	0.03054	0.19974	0.00091	0.59163	0.00068	0.00881
autobiographical	0.11622	0.04092	0.03609	0.00163	0.00155	0.01926	0.10067	0.00271	0.09301	0.00133	0.00394
autobiography	0.02064	0.02379	0.03227	0.00269	0.00569	0.09803	0.01601	0.00593	0.47335	0.00077	0.00649
automated	0.00409	0.01155	0.01098	0.00326	0.00177	0.02107	0.11257	0.00068	0.70516	0.00073	0.00640
automatic	0.00129	0.46680	0.03391	0.00767	0.00069	0.01192	0.00658	0.03836	0.00856	0.00020	0.02377
automatically	0.00267	0.02480	0.00139	0.00260	0.00421	0.00472	0.01117	0.82487	0.00255	0.00028	0.00906
automation	0.00252	0.00531	0.00690	0.00296	0.00277	0.03727	0.02094	0.00071	0.80065	0.00063	0.00912
automobile	0.00064	0.00341	0.00061	0.00073	0.00144	0.01246	0.00865	0.97056	0.00038	0.00014	0.00340
automobiles	0.00069	0.00365	0.00075	0.00200	0.00078	0.10875	0.01626	0.88893	0.00145	0.00025	0.00479
automotive	0.00268	0.01196	0.00923	0.00453	0.00242	0.03481	0.06838	0.00068	0.75487	0.00063	0.00785
autonomous	0.00275	0.00293	0.00801	0.00678	0.00748	0.19881	0.00424	0.00059	0.43246	0.00027	0.00540
autonomy	0.00307	0.00256	0.00308	0.00055	0.00166	0.03437	0.00156	0.00025	0.94445	0.00034	0.00502
autopsy	0.01307	0.91634	0.00118	0.00073	0.00036	0.00178	0.00624	0.00985	0.00245	0.00021	0.00862
autumn	0.00228	0.51011	0.13737	0.00293	0.00037	0.00523	0.00674	0.00250	0.00777	0.00022	0.01176
aux	0.01144	0.02267	0.09798	0.00181	0.00458	0.23086	0.00703	0.00546	0.21180	0.00087	0.03913
auxiliary	0.00231	0.00677	0.00703	0.00192	0.00086	0.01628	0.39227	0.03969	0.02010	0.00053	0.02048
av	0.00423	0.01922	0.01317	0.00404	0.00171	0.02684	0.18565	0.00095	0.56163	0.00075	0.00906
ava	0.00115	0.99091	0.00073	0.00208	0.00024	0.00246	0.00133	0.00426	0.00133	0.00006	0.01284
avail	0.00907	0.01563	0.01716	0.00170	0.00307	0.05278	0.00810	0.00166	0.71506	0.00079	0.01262
availability	0.00141	0.02365	0.00073	0.00130	0.00209	0.00987	0.00355	0.93951	0.00109	0.00023	0.01406
available	0.00264	0.01787	0.00082	0.00103	0.00423	0.00677	0.00391	0.93654	0.00087	0.00020	0.01186
avalanche	0.00217	0.98525	0.00071	0.00168	0.00043	0.00159	0.00260	0.00717	0.00171	0.00007	0.00906
avant	0.00502	0.00463	0.01589	0.00425	0.00433	0.14832	0.00735	0.00029	0.48808	0.00035	0.00738
avatar	0.07160	0.00252	0.00180	0.00128	0.44590	0.00205	0.00181	0.00430	0.00141	0.00013	0.00431
ave	0.00251	0.00412	0.00107	0.00585	0.00375	0.00330	0.00070	0.09758	0.00050	0.00056	0.87131
avenge	0.00499	0.09533	0.02820	0.00442	0.00159	0.00972	0.20929	0.00843	0.06065	0.00090	0.00366
avengers	0.15642	0.04007	0.00795	0.00125	0.00101	0.00858	0.13560	0.00316	0.03781	0.00080	0.01195
avenue	0.00212	0.00299	0.00064	0.00323	0.00259	0.00333	0.00082	0.10249	0.00040	0.00037	0.91541
avenues	0.00093	0.01146	0.00060	0.00166	0.00116	0.00295	0.00229	0.95260	0.00049	0.00022	0.05203
average	0.00280	0.98313	0.00056	0.00225	0.00038	0.00183	0.00109	0.00873	0.00097	0.00013	0.00700
averaged	0.00254	0.59341	0.03013	0.04840	0.00075	0.01249	0.00222	0.00497	0.04155	0.00019	0.00837
averages	0.00085	0.99542	0.00038	0.00255	0.00013	0.00125	0.00042	0.00259	0.00052	0.00012	0.00335
averaging	0.00117	0.94740	0.00315	0.00881	0.00031	0.00888	0.00075	0.00824	0.00550	0.00019	0.01765
avery	0.00191	0.95842	0.00170	0.00268	0.00057	0.00336	0.00160	0.02016	0.00155	0.00015	0.01931
aviation	0.00483	0.00461	0.00398	0.00091	0.00081	0.08919	0.27461	0.03040	0.06963	0.00051	0.00878
aviator	0.00177	0.00715	0.00273	0.00185	0.00144	0.00451	0.65845	0.10075	0.00475	0.00039	0.00409
avid	0.00610	0.03793	0.02544	0.00831	0.01607	0.23085	0.01315	0.00606	0.32565	0.00061	0.02668
aviv	0.00344	0.01802	0.01001	0.00453	0.00202	0.02553	0.14187	0.00073	0.66967	0.00074	0.00864
avoid	0.00432	0.11421	0.03042	0.00760	0.00338	0.02584	0.04046	0.05112	0.06631	0.00097	0.02885
avoidance	0.00178	0.24075	0.00095	0.00153	0.00166	0.01076	0.00647	0.47323	0.00434	0.00034	0.05289
avoided	0.00472	0.13934	0.02166	0.00826	0.00283	0.02527	0.06123	0.02860	0.09610	0.00138	0.02073
avoiding	0.00537	0.04964	0.04645	0.00369	0.00627	0.04462	0.02988	0.02285	0.17157	0.00094	0.01453
avoids	0.00268	0.96100	0.00103	0.00189	0.00059	0.00246	0.00437	0.01679	0.00216	0.00012	0.01356
avon	0.00081	0.03139	0.00191	0.00281	0.00104	0.01155	0.00307	0.90351	0.00177	0.00027	0.02264
aw	0.00277	0.00717	0.03413	0.00465	0.00242	0.02468	0.50743	0.00900	0.04360	0.00058	0.00643
await	0.00285	0.92540	0.00080	0.00167	0.00043	0.00337	0.00486	0.01977	0.00215	0.00021	0.01943
awaited	0.00199	0.58652	0.02808	0.00414	0.00039	0.00439	0.01361	0.02507	0.00352	0.00025	0.00964
awaiting	0.00131	0.02386	0.00112	0.00122	0.00123	0.00796	0.01639	0.80033	0.00275	0.00032	0.02087
awake	0.00386	0.50981	0.14013	0.00154	0.00057	0.00363	0.00957	0.00190	0.01565	0.00021	0.00600
awakening	0.00813	0.02310	0.06103	0.00241	0.00861	0.07477	0.00392	0.00245	0.59403	0.00068	0.01354
awakens	0.00410	0.02173	0.00896	0.00233	0.00228	0.00569	0.27614	0.10271	0.01446	0.00071	0.00930
award	0.02447	0.03263	0.06162	0.00404	0.00615	0.10280	0.00942	0.00537	0.42957	0.00086	0.01337
awarded	0.01260	0.02384	0.03966	0.00621	0.00662	0.18388	0.01908	0.00908	0.27642	0.00053	0.01535
awarding	0.00530	0.16668	0.11957	0.01248	0.00294	0.04493	0.01917	0.02836	0.06365	0.00089	0.02511
awards	0.43759	0.03042	0.01429	0.00170	0.00151	0.03899	0.02093	0.00389	0.03754	0.00114	0.00581
aware	0.01060	0.05222	0.02733	0.00217	0.00388	0.09479	0.01495	0.00466	0.41198	0.00103	0.04547
awareness	0.02004	0.02169	0.02015	0.00186	0.00459	0.07526	0.00830	0.00372	0.60668	0.00078	0.01146
away	0.00359	0.92208	0.00423	0.00288	0.00049	0.00437	0.00701	0.00704	0.00587	0.00017	0.02100
awesome	0.00497	0.19395	0.11402	0.00436	0.00221	0.01957	0.04126	0.01074	0.04729	0.00104	0.01350
awful	0.02011	0.09220	0.04496	0.00267	0.00270	0.05089	0.03532	0.00721	0.21390	0.00091	0.01688
awkward	0.01863	0.13326	0.03324	0.00389	0.00189	0.01619	0.04754	0.04757	0.01516	0.00085	0.01712
axe	0.00294	0.02739	0.00310	0.00213	0.00317	0.01276	0.03266	0.65585	0.00466	0.00048	0.00826
axel	0.00773	0.01354	0.05184	0.00337	0.01145	0.21586	0.00580	0.00377	0.34193	0.00071	0.02125
axes	0.00302	0.96897	0.00041	0.00119	0.00039	0.00228	0.00131	0.02283	0.00080	0.00009	0.00758
axial	0.00217	0.93921	0.00055	0.00223	0.00099	0.00152	0.00092	0.08737	0.00051	0.00009	0.01119
axis	0.00172	0.01418	0.00081	0.00068	0.00379	0.00217	0.01097	0.91779	0.00078	0.00018	0.00945
axle	0.00045	0.00116	0.00058	0.00045	0.00142	0.00401	0.00357	0.99068	0.00013	0.00011	0.00206
az	0.00961	0.01067	0.02519	0.00357	0.00590	0.15573	0.00752	0.00381	0.51026	0.00059	0.01137
azerbaijan	0.00350	0.00573	0.01656	0.00494	0.00930	0.13170	0.00362	0.00117	0.49543	0.00041	0.01116
azerbaijani	0.00544	0.00727	0.01146	0.00178	0.00334	0.05484	0.00475	0.00132	0.76928	0.00043	0.00955
aziz	0.00619	0.01491	0.02421	0.00627	0.01322	0.11280	0.00490	0.00281	0.50642	0.00049	0.01683
azores	0.00377	0.86586	0.00225	0.00172	0.00109	0.01117	0.01369	0.01247	0.02019	0.00048	0.05542
azure	0.00242	0.30598	0.01681	0.01061	0.00313	0.01595	0.07385	0.00162	0.30025	0.00103	0.02233
b	0.00550	0.02528	0.07132	0.00360	0.00786	0.16715	0.00623	0.00534	0.19328	0.00065	0.07803
ba	0.00360	0.00865	0.02078	0.00451	0.00691	0.49274	0.00782	0.00198	0.12779	0.00052	0.01872
baba	0.00299	0.04019	0.02107	0.00686	0.00383	0.02523	0.08551	0.00415	0.25348	0.00110	0.04645
babe	0.00395	0.90093	0.00282	0.00259	0.00100	0.00284	0.00571	0.03822	0.00141	0.00012	0.00603
babies	0.00306	0.97393	0.00078	0.00219	0.00040	0.00307	0.00154	0.01514	0.00117	0.00017	0.00906
babu	0.02543	0.01573	0.03213	0.00253	0.00368	0.07549	0.01162	0.00230	0.58964	0.00064	0.00883
baby	0.00363	0.96423	0.00163	0.00257	0.00054	0.00243	0.00247	0.01960	0.00125	0.00015	0.01083
babylon	0.00496	0.06358	0.00146	0.00164	0.00237	0.00616	0.01077	0.76051	0.00288	0.00052	0.01952
baccalaureate	0.00345	0.01389	0.01605	0.01104	0.02106	0.15005	0.00304	0.00088	0.26459	0.00027	0.01368
bach	0.00196	0.58783	0.12558	0.00467	0.00055	0.00700	0.00589	0.00330	0.00766	0.00022	0.01119
bachelor	0.00493	0.02514	0.02113	0.00540	0.00843	0.24326	0.01087	0.00228	0.28406	0.00060	0.04461
back	0.00282	0.44048	0.04002	0.00607	0.00125	0.02050	0.01721	0.02168	0.02072	0.00116	0.09074
backbone	0.00305	0.08244	0.02944	0.00843	0.00118	0.03563	0.19706	0.00128	0.31331	0.00107	0.01766
backdrop	0.66099	0.01120	0.00236	0.00103	0.00069	0.00445	0.02302	0.00376	0.00439	0.00057	0.01158
backed	0.00753	0.00761	0.09932	0.00319	0.00413	0.30707	0.00346	0.00247	0.20674	0.00063	0.01258
background	0.01822	0.08288	0.03642	0.00299	0.00519	0.08300	0.01423	0.00592	0.35480	0.00103	0.03191
backgrounds	0.01056	0.03042	0.02418	0.00292	0.00946	0.12386	0.00598	0.00347	0.62574	0.00076	0.01512
backing	0.00827	0.00873	0.17857	0.00354	0.00221	0.23414	0.00307	0.00140	0.20049	0.00072	0.01285
backlash	0.01175	0.01312	0.01562	0.00147	0.00340	0.05092	0.00448	0.00185	0.78020	0.00064	0.00958
backs	0.00172	0.98651	0.00090	0.00531	0.00021	0.00164	0.00127	0.00695	0.00113	0.00009	0.00664
backstage	0.39210	0.04898	0.01453	0.00158	0.00095	0.02041	0.03630	0.00289	0.02356	0.00112	0.00721
backup	0.00121	0.05818	0.00310	0.02152	0.00120	0.00386	0.00284	0.70336	0.00197	0.00021	0.04771
backward	0.00311	0.31180	0.01810	0.00361	0.00403	0.03300	0.00558	0.00366	0.30379	0.00097	0.05627
backwards	0.00279	0.95970	0.00110	0.00176	0.00049	0.00251	0.00172	0.02119	0.00114	0.00012	0.01114
backyard	0.00451	0.22432	0.00144	0.00220	0.00137	0.01122	0.00863	0.51302	0.00433	0.00062	0.02728
bacon	0.00522	0.05473	0.06311	0.00420	0.00371	0.13180	0.02780	0.01842	0.11673	0.00178	0.07963
bacteria	0.00069	0.99825	0.00030	0.00132	0.00019	0.00101	0.00137	0.00182	0.00048	0.00004	0.00387
bacterial	0.00096	0.99083	0.00039	0.00273	0.00022	0.00157	0.00749	0.00343	0.00192	0.00004	0.01191
bacterium	0.00074	0.99205	0.00038	0.00308	0.00015	0.00104	0.00817	0.00250	0.00132	0.00003	0.01022
bad	0.00406	0.29803	0.07204	0.00440	0.00131	0.01307	0.03459	0.01419	0.02726	0.00082	0.01712
baden	0.01068	0.03901	0.03572	0.00302	0.00423	0.12702	0.01036	0.00540	0.40031	0.00077	0.03991
badge	0.00511	0.01644	0.01495	0.00333	0.00174	0.01865	0.32618	0.03757	0.02739	0.00076	0.00984
badges	0.00290	0.02401	0.00783	0.00280	0.00302	0.04313	0.05194	0.35008	0.01617	0.00046	0.01134
badly	0.00342	0.03466	0.01874	0.00264	0.00154	0.02117	0.16202	0.00799	0.15182	0.00109	0.02148
badminton	0.00530	0.04500	0.01874	0.06519	0.00775	0.08174	0.00198	0.00149	0.11547	0.00017	0.01768
bafta	0.96516	0.00363	0.00214	0.00069	0.00111	0.00174	0.00546	0.00062	0.00184	0.00018	0.00194
bag	0.00242	0.91996	0.00229	0.00277	0.00096	0.00569	0.00283	0.03629	0.00212	0.00020	0.02655
baggage	0.00112	0.27899	0.00083	0.00165	0.00128	0.00335	0.01737	0.41929	0.00253	0.00020	0.00795
baghdad	0.00652	0.03768	0.02291	0.00351	0.00324	0.07558	0.03348	0.00772	0.36625	0.00129	0.03328
bags	0.00081	0.93816	0.01078	0.00516	0.00041	0.00731	0.02341	0.00106	0.03516	0.00022	0.02146
bah	0.00305	0.53932	0.00975	0.00198	0.00186	0.03648	0.01402	0.00655	0.11968	0.00133	0.06635
bahadur	0.00679	0.00942	0.01711	0.00280	0.00501	0.06699	0.00826	0.00238	0.65760	0.00041	0.01250
bahamas	0.00162	0.98827	0.00073	0.00269	0.00025	0.00219	0.00109	0.00814	0.00110	0.00010	0.01021
bahia	0.00151	0.97417	0.00061	0.00149	0.00026	0.00385	0.00065	0.01901	0.00099	0.00012	0.01552
bahn	0.00025	0.00125	0.00050	0.00040	0.00086	0.00166	0.00170	0.99686	0.00006	0.00012	0.00339
bahrain	0.01053	0.02780	0.03150	0.00300	0.00572	0.24200	0.00873	0.00603	0.34439	0.00074	0.03377
bail	0.00681	0.00742	0.00908	0.00126	0.00220	0.05104	0.00560	0.00154	0.77515	0.00045	0.01071
bailey	0.00130	0.12683	0.00143	0.00500	0.00103	0.00352	0.00379	0.80711	0.00118	0.00023	0.01650
bait	0.00286	0.98254	0.00039	0.00129	0.00030	0.00180	0.00133	0.01956	0.00069	0.00009	0.01190
baja	0.00312	0.03685	0.01074	0.00397	0.00146	0.02331	0.25952	0.00105	0.49986	0.00088	0.01061
baked	0.01194	0.91528	0.00129	0.00121	0.00036	0.00440	0.00398	0.01792	0.00165	0.00017	0.01902
baker	0.00257	0.34691	0.05059	0.00794	0.00134	0.03101	0.02013	0.03564	0.02513	0.00067	0.03310
bakery	0.00243	0.00102	0.00120	0.00128	0.00363	0.91444	0.00112	0.00123	0.02046	0.00046	0.00534
baking	0.00419	0.00609	0.00962	0.00209	0.00231	0.74764	0.00468	0.00477	0.05542	0.00046	0.00824
baku	0.00524	0.03341	0.03572	0.00786	0.01271	0.12461	0.01621	0.00517	0.36328	0.00076	0.04411
bal	0.00980	0.00883	0.01975	0.00202	0.00488	0.09064	0.00587	0.00221	0.63871	0.00052	0.01279
bala	0.01215	0.01699	0.01950	0.00191	0.00109	0.01436	0.06976	0.00079	0.54752	0.00096	0.00598
balance	0.00551	0.02869	0.04438	0.00379	0.01222	0.18336	0.00837	0.00983	0.27066	0.00063	0.04970
balanced	0.00264	0.68898	0.01169	0.00386	0.00136	0.02000	0.00342	0.03600	0.01395	0.00033	0.04173
balancing	0.00538	0.01856	0.04049	0.00746	0.00770	0.04365	0.01070	0.18165	0.03804	0.00080	0.03435
balcony	0.01692	0.00261	0.00065	0.00220	0.00284	0.00101	0.00114	0.00790	0.00045	0.00024	0.91549
bald	0.00322	0.97905	0.00051	0.00143	0.00032	0.00206	0.00249	0.00875	0.00134	0.00012	0.01106
baldwin	0.00410	0.15527	0.05307	0.00759	0.00220	0.04855	0.03542	0.05490	0.03753	0.00121	0.05645
bali	0.00186	0.04625	0.00161	0.00180	0.00162	0.00608	0.00689	0.82089	0.00286	0.00036	0.01757
balkan	0.00932	0.01461	0.02324	0.00174	0.00366	0.08150	0.00506	0.00178	0.68702	0.00058	0.01198
balkans	0.01069	0.02003	0.02158	0.00128	0.00326	0.14543	0.00559	0.00257	0.57516	0.00089	0.01626
ball	0.00239	0.93282	0.00366	0.01141	0.00029	0.00250	0.00521	0.01553	0.00386	0.00009	0.00829
ballad	0.01643	0.01629	0.73905	0.00134	0.00150	0.00846	0.00342	0.00129	0.01051	0.00029	0.00400
ballads	0.00818	0.01856	0.81815	0.00165	0.00101	0.01096	0.00278	0.00194	0.00696	0.00026	0.00351
ballard	0.00189	0.15439	0.00794	0.00632	0.00139	0.02064	0.01038	0.27081	0.00778	0.00078	0.07897
ballet	0.05567	0.01629	0.14563	0.00155	0.00249	0.07233	0.00435	0.00115	0.19714	0.00114	0.01954
ballistic	0.00076	0.03755	0.00083	0.00051	0.00118	0.00131	0.00106	0.97244	0.00017	0.00010	0.00541
balloon	0.00430	0.02436	0.00115	0.00096	0.00340	0.00599	0.02876	0.84591	0.00111	0.00023	0.00572
balloons	0.00257	0.02920	0.00309	0.00175	0.00280	0.01526	0.03066	0.68433	0.00436	0.00038	0.00683
ballot	0.00537	0.00673	0.00431	0.00068	0.00226	0.01229	0.00218	0.00038	0.95501	0.00025	0.00366
ballots	0.00654	0.00590	0.00556	0.00063	0.00132	0.01933	0.00282	0.00041	0.93068	0.00036	0.00538
ballroom	0.00601	0.00340	0.00090	0.00514	0.00236	0.00211	0.00130	0.01426	0.00055	0.00034	0.92175
balls	0.00190	0.59555	0.03578	0.02282	0.00070	0.00408	0.00532	0.00804	0.00932	0.00016	0.01041
baltic	0.00503	0.30444	0.01782	0.00347	0.00147	0.06398	0.03502	0.02273	0.07370	0.00148	0.02649
baltimore	0.00184	0.68297	0.00530	0.00699	0.00079	0.02244	0.00922	0.05757	0.00728	0.00092	0.08214
bamboo	0.00125	0.99583	0.00037	0.00134	0.00025	0.00163	0.00165	0.00649	0.00064	0.00004	0.00692
ban	0.01103	0.00924	0.01567	0.00222	0.00498	0.07780	0.00503	0.00294	0.69045	0.00046	0.00752
banana	0.00116	0.64760	0.01526	0.00987	0.00140	0.01062	0.18313	0.00183	0.09217	0.00159	0.01514
bananas	0.00128	0.99707	0.00041	0.00123	0.00022	0.00194	0.00089	0.00456	0.00051	0.00005	0.00425
band	0.00766	0.00526	0.90508	0.00279	0.00154	0.00842	0.00113	0.00048	0.00537	0.00024	0.00200
banded	0.00118	0.99752	0.00032	0.00114	0.00021	0.00104	0.00063	0.00392	0.00031	0.00007	0.00254
bandits	0.00422	0.90057	0.00185	0.00298	0.00136	0.00471	0.00843	0.03791	0.00191	0.00016	0.00539
bandleader	0.01068	0.01249	0.69895	0.00346	0.00189	0.02379	0.00427	0.00040	0.04321	0.00054	0.00362
bands	0.01210	0.00704	0.58486	0.00306	0.00148	0.12201	0.00119	0.00102	0.02092	0.00071	0.00864
bandwidth	0.02042	0.63740	0.00111	0.00327	0.00111	0.00442	0.00466	0.24438	0.00116	0.00015	0.01397
bang	0.00811	0.01711	0.02297	0.00257	0.00282	0.04746	0.01213	0.00095	0.70196	0.00090	0.00757
bangalore	0.00531	0.04824	0.11426	0.00679	0.00525	0.10593	0.00506	0.00971	0.14834	0.00050	0.05048
bangkok	0.00535	0.02847	0.06878	0.00455	0.01002	0.14296	0.00677	0.00570	0.22733	0.00059	0.06250
bangladesh	0.00675	0.02190	0.05559	0.00335	0.00876	0.24490	0.00557	0.00587	0.23242	0.00067	0.05900
bangladeshi	0.01458	0.02314	0.03537	0.00420	0.00766	0.12814	0.00686	0.00518	0.46958	0.00075	0.02021
bangor	0.00168	0.96234	0.00084	0.00448	0.00030	0.00259	0.00349	0.01087	0.00195	0.00019	0.01358
banished	0.00577	0.03006	0.01173	0.00152	0.00233	0.01917	0.00883	0.00095	0.76830	0.00102	0.00990
banjo	0.00345	0.26241	0.45022	0.00260	0.00077	0.01031	0.00279	0.00169	0.00990	0.00031	0.00448
bank	0.00270	0.00225	0.00452	0.00232	0.00385	0.80676	0.00227	0.00182	0.04482	0.00039	0.00687
banker	0.00391	0.00549	0.01220	0.00446	0.00541	0.45232	0.00469	0.00144	0.16404	0.00038	0.00952
bankers	0.00392	0.00321	0.00869	0.00391	0.00316	0.74310	0.00398	0.00174	0.06838	0.00039	0.00433
banking	0.00250	0.00199	0.00338	0.00207	0.00251	0.89530	0.00246	0.00172	0.04234	0.00039	0.00487
bankrupt	0.00210	0.00109	0.00229	0.00165	0.00162	0.92042	0.00201	0.00212	0.01593	0.00042	0.01092
bankruptcy	0.00277	0.00268	0.00443	0.00229	0.00148	0.82306	0.00357	0.00235	0.05569	0.00040	0.00815
banks	0.00536	0.27353	0.01584	0.00252	0.00170	0.15567	0.00442	0.04762	0.02162	0.00126	0.17578
banned	0.02355	0.01245	0.02889	0.00233	0.00398	0.10115	0.00759	0.00368	0.62310	0.00060	0.00764
banner	0.02341	0.00818	0.01600	0.00138	0.00216	0.08633	0.00946	0.00187	0.63335	0.00057	0.00797
banners	0.01399	0.04025	0.03626	0.00316	0.00315	0.07908	0.02166	0.00657	0.34426	0.00098	0.01498
banning	0.01097	0.01191	0.02185	0.00294	0.00669	0.12310	0.00599	0.00379	0.59938	0.00058	0.00938
banquet	0.00128	0.06309	0.00279	0.02333	0.00094	0.00426	0.00416	0.76368	0.00179	0.00023	0.02931
baptised	0.00247	0.09043	0.01655	0.00646	0.00318	0.04334	0.01626	0.00171	0.29038	0.00166	0.09488
baptism	0.00441	0.75513	0.00087	0.00206	0.00039	0.00272	0.01929	0.01560	0.00273	0.00025	0.11050
baptist	0.00341	0.09575	0.00741	0.00908	0.00115	0.03045	0.01381	0.03888	0.01498	0.00087	0.55114
baptiste	0.00298	0.26149	0.06364	0.00920	0.00207	0.04904	0.00440	0.00340	0.15493	0.00051	0.04260
baptized	0.00046	0.67927	0.00894	0.00576	0.00031	0.00576	0.01310	0.00131	0.04162	0.00119	0.05853
bar	0.00124	0.65058	0.01404	0.01065	0.00064	0.02482	0.00857	0.03106	0.00976	0.00074	0.09964
barack	0.00599	0.01400	0.02164	0.00265	0.00492	0.05300	0.00676	0.00187	0.69330	0.00062	0.01127
barbados	0.00170	0.90264	0.00527	0.00626	0.00051	0.01085	0.00479	0.01910	0.00583	0.00030	0.03323
barbara	0.00649	0.05529	0.06511	0.00619	0.00782	0.10497	0.01575	0.01112	0.23991	0.00111	0.04813
barber	0.00594	0.02829	0.05974	0.00334	0.00284	0.17101	0.02089	0.02612	0.05203	0.00161	0.16209
barcelona	0.00711	0.02824	0.06597	0.00520	0.00859	0.21689	0.00912	0.00816	0.24009	0.00067	0.04540
